GeneID	ContigID	Start	End
ACAOFLLE_00001	NC_004337.2	335	2798
ACAOFLLE_00002	NC_004337.2	2799	3732
ACAOFLLE_00003	NC_004337.2	3732	5019
ACAOFLLE_00004	NC_004337.2	5232	5529
ACAOFLLE_00005	NC_004337.2	5681	6458
ACAOFLLE_00006	NC_004337.2	6527	6896
ACAOFLLE_00007	NC_004337.2	6917	7958
ACAOFLLE_00008	NC_004337.2	8236	9190
ACAOFLLE_00009	NC_004337.2	9304	9892
ACAOFLLE_00010	NC_004337.2	9926	10493
ACAOFLLE_00011	NC_004337.2	10641	11355
ACAOFLLE_00012	NC_004337.2	11380	11785
ACAOFLLE_00013	NC_004337.2	12161	14078
ACAOFLLE_00014	NC_004337.2	14166	15297
ACAOFLLE_00015	NC_004337.2	15400	15610
ACAOFLLE_00016	NC_004337.2	16139	17306
ACAOFLLE_00017	NC_004337.2	17371	18271
ACAOFLLE_00018	NC_004337.2	18683	19187
ACAOFLLE_00019	NC_004337.2	19769	20033
ACAOFLLE_00020	NC_004337.2	20361	21303
ACAOFLLE_00021	NC_004337.2	21345	24162
ACAOFLLE_00022	NC_004337.2	24161	24656
ACAOFLLE_00023	NC_004337.2	24570	24747
ACAOFLLE_00024	NC_004337.2	24748	25198
ACAOFLLE_00025	NC_004337.2	25255	25705
ACAOFLLE_00026	NC_004337.2	25706	26657
ACAOFLLE_00027	NC_004337.2	26722	27637
ACAOFLLE_00028	NC_004337.2	27803	28625
ACAOFLLE_00029	NC_004337.2	29080	30229
ACAOFLLE_00030	NC_004337.2	30246	33468
ACAOFLLE_00031	NC_004337.2	33729	34125
ACAOFLLE_00032	NC_004337.2	34210	34801
ACAOFLLE_00033	NC_004337.2	34806	35592
ACAOFLLE_00034	NC_004337.2	35700	37254
ACAOFLLE_00035	NC_004337.2	37327	38545
ACAOFLLE_00036	NC_004337.2	38673	39816
ACAOFLLE_00037	NC_004337.2	39846	41361
ACAOFLLE_00038	NC_004337.2	41716	42487
ACAOFLLE_00039	NC_004337.2	42501	43293
