HCDDLEIH_00001	407	1367
HCDDLEIH_00002	1308	2064
HCDDLEIH_00003	2060	2990
HCDDLEIH_00004	3013	4039
HCDDLEIH_00005	4567	4963
HCDDLEIH_00006	4959	6378
HCDDLEIH_00007	6381	7185
HCDDLEIH_00008	7278	9471
HCDDLEIH_00009	9482	10721
HCDDLEIH_00010	11221	11908
HCDDLEIH_00011	12071	13073
HCDDLEIH_00012	13069	13882
HCDDLEIH_00013	13874	14705
HCDDLEIH_00014	14760	15501
HCDDLEIH_00015	15485	16169
HCDDLEIH_00016	16666	17347
HCDDLEIH_00017	17343	18900
HCDDLEIH_00018	18896	20018
HCDDLEIH_00019	20404	21982
HCDDLEIH_00020	22075	23086
HCDDLEIH_00021	23096	23993
HCDDLEIH_00022	23997	24996
HCDDLEIH_00023	24988	25969
HCDDLEIH_00024	25965	26919
HCDDLEIH_00025	27427	28459
HCDDLEIH_00026	28547	29852
HCDDLEIH_00027	29955	30822
HCDDLEIH_00028	30832	31663
HCDDLEIH_00029	31675	32677
HCDDLEIH_00030	32713	34207
HCDDLEIH_00031	34262	35441
HCDDLEIH_00032	35493	36384
HCDDLEIH_00033	36397	36841
HCDDLEIH_00034	36863	37790
HCDDLEIH_00035	37789	38548
HCDDLEIH_00036	38562	39750
HCDDLEIH_00037	39766	40972
HCDDLEIH_00038	40975	43042
HCDDLEIH_00039	43054	43807
HCDDLEIH_00040	43803	45453
HCDDLEIH_00041	45528	46686
HCDDLEIH_00042	46744	47527
HCDDLEIH_00043	47540	48314
HCDDLEIH_00044	48524	49028
HCDDLEIH_00045	49022	50189
HCDDLEIH_00046	50582	51368
HCDDLEIH_00047	51771	52848
HCDDLEIH_00048	52908	53469
HCDDLEIH_00049	53479	54778
HCDDLEIH_00050	54780	55554
HCDDLEIH_00051	55550	56129
HCDDLEIH_00052	56225	57137
HCDDLEIH_00053	57313	59011
HCDDLEIH_00054	59007	59811
HCDDLEIH_00055	59933	61715
HCDDLEIH_00056	61732	62473
HCDDLEIH_00057	62496	64113
HCDDLEIH_00058	64194	64926
HCDDLEIH_00059	64998	65970
HCDDLEIH_00060	65959	67462
HCDDLEIH_00061	67531	68446
HCDDLEIH_00062	68544	69429
HCDDLEIH_00063	69678	71130
HCDDLEIH_00064	71135	72173
HCDDLEIH_00065	72600	73815
HCDDLEIH_00066	73811	74819
HCDDLEIH_00067	75048	76227
HCDDLEIH_00068	76387	77278
HCDDLEIH_00069	77280	77883
HCDDLEIH_00070	77887	78667
HCDDLEIH_00071	78663	79068
HCDDLEIH_00072	79157	80300
HCDDLEIH_00073	80405	82025
HCDDLEIH_00074	82053	83022
HCDDLEIH_00075	83105	85025
HCDDLEIH_00076	85043	85871
HCDDLEIH_00077	86222	87134
HCDDLEIH_00078	87126	88005
